DNA_ID,loc,yr,reef,MLG,mtorf
ML3721,Coiba,2020,BAD_A,108,1
ML3722,Coiba,2020,BAD_A,108,1
ML3723,Coiba,2021,UVA_A,9,3
ML3724,Coiba,2021,UVA_A,31,1
ML3725,Perla,2020,CON_A,9,3
ML3726,Perla,2020,MOG_A,9,3
ML3727,Perla,2020,MOG_A,9,3
ML3728,Perla,2020,MOG_A,8,1
ML3729,Perla,2020,MOG_A,9,3
ML3730,Perla,2020,SAB_A,9,3
ML3731,Perla,2020,SAB_A,9,3
ML3732,Perla,2020,SAB_A,9,3
ML3733,Coiba,2020,BAD_A,52,1
ML3734,Coiba,2020,AFU_A,95,1
ML3735,Coiba,2020,AFU_A,15,1
ML3736,Coiba,2020,UVA_A,30,NA
ML3737,Coiba,2020,BAD_A,108,1
ML3738,Coiba,2020,BAD_A,108,1
ML3739,Coiba,2020,UVA_A,9,3
ML3740,Coiba,2020,AFU_A,83,1
ML3741,Coiba,2020,AFU_A,9,3
ML3742,Coiba,2020,UVA_A,71,1
ML3743,Coiba,2020,UVA_A,9,3
ML3744,Coiba,2020,BAD_A,52,1
ML3745,Coiba,2020,AFU_A,83,1
ML3746,Coiba,2020,AFU_A,26,1
ML3747,Coiba,2020,UVA_A,31,1
ML3748,Coiba,2020,UVA_A,32,1
ML3749,Coiba,2021,UVA_A,9,3
ML3750,Coiba,2021,UVA_A,30,NA
ML3751,Coiba,2021,UVA_A,31,1
ML3752,Coiba,2021,UVA_A,32,1
ML3753,Coiba,2021,UVA_A,32,1
ML3754,Coiba,2021,UVA_A,NA,NA
ML3755,Coiba,2021,UVA_A,35,1
ML3758,Coiba,2020,AFU_A,117,1
ML3759,Coiba,2020,UVA_A,32,1
ML3760,Perla,2020,MOG_A,9,3
ML3761,Perla,2020,CON_A,9,3
ML3762,Perla,2020,MOG_A,40,3
ML3763,Perla,2020,CON_A,9,3
ML3764,Coiba,2020,UVA_A,32,1
ML3765,Perla,2020,SAB_A,9,3
ML3766,Coiba,2020,AFU_A,9,3
ML3767,Perla,2020,SAB_A,45,1
ML3768,Perla,2020,SAB_A,9,3
ML3769,Coiba,2020,AFU_A,95,1
ML3770,Perla,2020,CON_A,9,3
ML3771,Perla,2020,MOG_A,8,1
ML3772,Perla,2020,SAB_A,9,3
ML3773,Coiba,2020,UVA_A,51,1
ML3774,Coiba,2020,BAD_A,52,NA
ML3775,Perla,2020,CON_A,9,3
ML3776,Perla,2020,MOG_A,72,1
ML3777,Perla,2020,CON_A,126,1
ML3778,Perla,2020,CON_A,9,3
ML3779,Perla,2020,CON_A,9,3
ML3780,Perla,2020,CON_A,126,1
ML3781,Perla,2020,SAB_A,9,3
ML3782,Coiba,2020,BAD_A,108,1
ML3783,Perla,2020,CON_A,133,1
ML3784,Perla,2020,MOG_A,9,3
ML3785,Perla,2020,SAB_A,9,3
ML3786,Coiba,2021,UVA_A,NA,NA
ML3788,Perla,2021,MOG_A,9,3
ML3789,Coiba,2021,BAD_A,NA,NA
ML3790,Coiba,2021,AFU_A,9,3
ML3791,Perla,2021,MOG_A,9,3
ML3792,Perla,2021,MOG_A,9,3
ML3793,Perla,2021,SAB_A,70,3
ML3794,Coiba,2021,UVA_A,71,1
ML3795,Perla,2021,MOG_A,72,1
ML3796,Perla,2021,MOG_A,8,1
ML3797,Perla,2021,MOG_A,NA,NA
ML3798,Coiba,2021,AFU_A,9,3
ML3799,Perla,2021,MOG_A,8,1
ML3800,Coiba,2021,BAD_A,108,1
ML3801,Perla,2021,MOG_A,9,3
ML3802,Perla,2021,SAB_A,79,NA
ML3803,Perla,2021,MOG_A,9,3
ML3804,Coiba,2021,BAD_A,52,1
ML3805,Coiba,2021,BAD_A,108,1
ML3806,Coiba,2021,AFU_A,83,1
ML3807,Perla,2021,MOG_A,40,1
ML3808,Perla,2021,SAB_A,9,3
ML3809,Coiba,2021,BAD_A,108,1
ML3810,Coiba,2021,UVA_A,51,1
ML3811,Coiba,2021,AFU_A,15,1
ML3812,Coiba,2021,BAD_A,108,1
ML3813,Coiba,2021,AFU_A,26,1
ML3814,Perla,2021,SAB_A,9,3
ML3815,Perla,2021,SAB_A,9,3
ML3816,Perla,2021,SAB_A,79,3
ML3819,Coiba,2020,UVA_A,35,1
ML3820,Coiba,2021,AFU_A,NA,NA
ML3821,Coiba,2021,AFU_A,26,1
ML3822,Perla,2020,MOG_A,9,3
ML3823,Perla,2020,CON_A,9,3
ML3824,Coiba,2021,BAD_A,99,1
ML3825,Coiba,2020,AFU_A,114,1
ML3826,Coiba,2021,AFU_A,95,1
ML3827,Coiba,2020,BAD_A,104,1
ML3828,Coiba,2020,AFU_A,9,3
ML3829,Coiba,2021,BAD_A,104,1
ML3830,Coiba,2021,BAD_A,52,1
ML3831,Perla,2020,SAB_A,9,3
ML3832,Coiba,2020,BAD_A,108,1
ML3833,Coiba,2021,BAD_A,108,1
ML3834,Coiba,2021,BAD_A,108,1
ML3835,Perla,2020,MOG_A,8,1
ML3836,Coiba,2021,AFU_A,95,1
ML3837,Perla,2020,SAB_A,9,NA
ML3838,Coiba,2020,BAD_A,99,1
ML3839,Coiba,2021,AFU_A,114,1
ML3840,Coiba,2021,BAD_A,52,NA
ML3841,Coiba,2021,AFU_A,9,3
ML3842,Coiba,2021,AFU_A,117,1
ML3843,Perla,2021,SAB_A,9,3
ML3844,Perla,2021,SAB_A,9,3
ML3845,Perla,2021,SAB_A,120,1
ML3846,Perla,2021,SAB_A,9,3
ML3848,Perla,2021,CON_A,9,3
ML3849,Perla,2021,CON_A,9,3
ML3850,Perla,2021,CON_A,9,3
ML3851,Perla,2021,CON_A,9,3
ML3852,Perla,2021,CON_A,126,1
ML3853,Perla,2021,CON_A,9,3
ML3854,Perla,2021,CON_A,9,3
ML3855,Perla,2021,CON_A,9,1
ML3856,Perla,2021,CON_A,9,3
ML3857,Perla,2021,CON_A,9,3
ML3858,Perla,2021,CON_A,9,3
ML3859,Perla,2021,CON_A,133,1
ML3860,Perla,2021,SAB_A,9,3
ML3861,Perla,2021,SAB_A,NA,NA
ML3862,Perla,2021,MOG_A,9,3
ML3863,Perla,2021,MOG_A,8,1
